Date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,TIP,HYG,GLD,DBC,VNQ,SHV
2006-01-03,87.00092315673828,35.273780822753906,51.89478302001953,33.6203498840332,20.14203643798828,47.311065673828125,48.58736038208008,54.8489875793457,,53.119998931884766,,25.824443817138672,
2006-01-04,87.41292572021484,35.64094543457031,52.17692565917969,33.8995246887207,20.324647903442383,47.4244499206543,48.674259185791016,54.854305267333984,,53.29999923706055,,26.01570701599121,
2006-01-05,87.4678726196289,35.794639587402344,52.45909881591797,33.72982406616211,20.428054809570312,47.36772918701172,48.68583679199219,54.694583892822266,,52.34000015258789,,26.215463638305664,
2006-01-06,88.19576263427734,36.443572998046875,53.08442306518555,34.18416213989258,20.854875564575195,47.280155181884766,48.622135162353516,54.667964935302734,,53.720001220703125,,26.461984634399414,
2006-01-09,88.42234802246094,36.58872985839844,53.43521499633789,34.200584411621094,21.059484481811523,47.311065673828125,48.64533233642578,54.731876373291016,,54.599998474121094,,26.687240600585938,
2006-01-10,88.51158142089844,36.61436080932617,53.9156608581543,33.894039154052734,20.806467056274414,46.92959213256836,48.44838333129883,54.60944747924805,,54.060001373291016,,26.848739624023438,
2006-01-11,88.7931137084961,36.89612579345703,53.82412338256836,34.18416213989258,21.05068016052246,46.85227584838867,48.32677459716797,54.524288177490234,,54.529998779296875,,26.89125633239746,
2006-01-12,88.44295501708984,36.71682357788086,53.633487701416016,33.904991149902344,20.758068084716797,47.166709899902344,48.50053024291992,54.7371826171875,,54.43000030517578,,26.814760208129883,
2006-01-13,88.36048126220703,36.69974899291992,53.656368255615234,34.03636169433594,20.78006935119629,47.439903259277344,48.71481704711914,54.88622283935547,,55.439998626708984,,26.483226776123047,
2006-01-17,88.12020111083984,36.460655212402344,53.40469741821289,33.60940933227539,20.417051315307617,47.65126037597656,48.77268981933594,55.01398468017578,,55.2599983215332,,26.37697982788086,
2006-01-18,87.77000427246094,36.0422477722168,53.29030227661133,33.15508270263672,20.406049728393555,47.63580322265625,48.790069580078125,54.987369537353516,,54.06999969482422,,26.372716903686523,
2006-01-19,88.10645294189453,36.30695343017578,54.14442443847656,33.53276824951172,21.066082000732422,47.49658203125,48.66843795776367,54.944828033447266,,55.59000015258789,,26.70425033569336,
2006-01-20,86.49964904785156,35.2225456237793,53.5267448425293,33.02369689941406,20.43905258178711,47.62034606933594,48.74951934814453,55.04591369628906,,55.20000076293945,,26.44497299194336,
2006-01-23,86.80865478515625,35.2310676574707,53.69451141357422,33.48350524902344,21.0330810546875,47.60485076904297,48.73795700073242,54.960731506347656,,55.77000045776367,,26.563976287841797,
2006-01-24,86.89794158935547,35.38477325439453,54.29694366455078,33.653194427490234,21.36309814453125,47.37290573120117,48.65687942504883,54.82767868041992,,55.72999954223633,,26.76375389099121,
2006-01-25,86.97345733642578,35.2310676574707,54.43421936035156,33.76814651489258,21.37409210205078,46.857418060302734,48.355743408203125,54.48167419433594,,56.13999938964844,,26.780742645263672,
2006-01-26,87.45411682128906,35.47871017456055,55.21969985961914,34.1677360534668,21.880128860473633,46.65638732910156,48.25149917602539,54.428470611572266,,55.880001068115234,,26.869998931884766,
2006-01-27,88.26439666748047,35.956871032714844,55.49422073364258,34.34837341308594,22.13094139099121,46.65638732910156,48.28621292114258,54.572174072265625,,55.630001068115234,,27.171768188476562,
2006-01-30,88.19576263427734,36.02516174316406,55.334075927734375,34.37574005126953,22.027528762817383,46.6099853515625,48.18199157714844,54.5615234375,,56.68000030517578,,27.150529861450195,
2006-01-31,87.55023956298828,35.862945556640625,55.1739387512207,34.40858459472656,22.172744750976562,46.738868713378906,48.25149917602539,54.74785614013672,,56.70000076293945,,27.22277069091797,
2006-02-01,88.16136169433594,35.99103927612305,55.74589538574219,34.51258850097656,22.161739349365234,46.579002380371094,48.102821350097656,54.582786560058594,,56.70000076293945,,27.350290298461914,
2006-02-02,87.13826751708984,35.376216888427734,54.907012939453125,34.12394714355469,21.59191131591797,46.66695022583008,48.102821350097656,54.5881462097168,,56.97999954223633,,27.159025192260742,
2006-02-03,86.7056655883789,34.94075393676758,54.73926544189453,34.03636169433594,21.297096252441406,46.9980583190918,48.248023986816406,54.854305267333984,,56.5,,26.921003341674805,
2006-02-06,86.93228149414062,34.846824645996094,55.22732925415039,33.987098693847656,21.803119659423828,47.09114456176758,48.17831802368164,54.891563415527344,,56.720001220703125,19.185100555419922,27.023014068603516,
2006-02-07,86.16319274902344,34.693119049072266,54.335079193115234,33.73530197143555,21.23109245300293,46.86867904663086,48.120201110839844,54.63605499267578,,54.599998474121094,18.630157470703125,26.810510635375977,
2006-02-08,86.94599151611328,35.094451904296875,54.67823028564453,33.8557243347168,21.297096252441406,46.760066986083984,48.09117889404297,54.53490447998047,,54.83000183105469,18.55088233947754,26.691490173339844,
2006-02-09,86.8017807006836,34.761436462402344,54.39609909057617,33.921417236328125,21.352100372314453,46.972129821777344,48.137672424316406,54.65734100341797,,56.18000030517578,18.725290298461914,26.81900405883789,
2006-02-10,86.95972442626953,34.97490692138672,54.28168869018555,33.84476852416992,21.319095611572266,46.7135124206543,47.99821472167969,54.43377685546875,,54.790000915527344,18.384397506713867,26.844497680664062,
2006-02-13,86.8017807006836,34.57358932495117,53.923255920410156,33.60940933227539,20.79326820373535,46.71868133544922,47.99821472167969,54.407188415527344,,53.720001220703125,18.098995208740234,26.88274574279785,
2006-02-14,87.72189331054688,34.92366409301758,54.54861068725586,33.98162841796875,21.319095611572266,46.55316162109375,47.92850875854492,54.162269592285156,,54.4900016784668,17.9483699798584,27.031517028808594,
2006-02-15,88.0309066772461,35.14569091796875,55.029083251953125,33.67509460449219,21.209089279174805,46.66695022583008,48.015625,54.21552658081055,,53.7599983215332,17.686756134033203,27.2695255279541,
