Date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,TIP,HYG,GLD,DBC,VNQ,SHV
2006-01-03,87.00090789794922,35.27376937866211,51.894775390625,33.620357513427734,20.142038345336914,47.492313385009766,48.7619743347168,55.251407623291016,,53.119998931884766,,25.824438095092773,
2006-01-04,87.41295623779297,35.640933990478516,52.17692565917969,33.89951705932617,20.324647903442383,47.606143951416016,48.8491325378418,55.256752014160156,,53.29999923706055,,26.01569938659668,
2006-01-05,87.46784973144531,35.794620513916016,52.45909881591797,33.729827880859375,20.42804718017578,47.54923629760742,48.86076354980469,55.09598159790039,,52.34000015258789,,26.21546173095703,
2006-01-06,88.19570922851562,36.44359588623047,53.08443069458008,34.18415832519531,20.85487174987793,47.461273193359375,48.79682922363281,55.069149017333984,,53.720001220703125,,26.461965560913086,
2006-01-09,88.42233276367188,36.58873748779297,53.43523025512695,34.20058059692383,21.05948257446289,47.492313385009766,48.82004928588867,55.13346862792969,,54.599998474121094,,26.687240600585938,
2006-01-10,88.51160430908203,36.61434555053711,53.91566848754883,33.894039154052734,20.80647087097168,47.10939407348633,48.622459411621094,55.0101203918457,,54.060001373291016,,26.848756790161133,
2006-01-11,88.79309844970703,36.896148681640625,53.82414627075195,34.18415832519531,21.050683975219727,47.031803131103516,48.50038528442383,54.92433547973633,,54.529998779296875,,26.891258239746094,
2006-01-12,88.44292449951172,36.7168083190918,53.63350296020508,33.90499496459961,20.758068084716797,47.34745407104492,48.674774169921875,55.13881301879883,,54.43000030517578,,26.814746856689453,
2006-01-13,88.36054992675781,36.69974136352539,53.6563606262207,34.03636169433594,20.78006935119629,47.6217155456543,48.88981246948242,55.28894805908203,,55.439998626708984,,26.483230590820312,
2006-01-17,88.12017822265625,36.46064376831055,53.404701232910156,33.609413146972656,20.41704750061035,47.8338623046875,48.94791793823242,55.41767120361328,,55.2599983215332,,26.376970291137695,
2006-01-18,87.7699966430664,36.0422248840332,53.29031753540039,33.155067443847656,20.406049728393555,47.81834411621094,48.965370178222656,55.390846252441406,,54.06999969482422,,26.37273597717285,
2006-01-19,88.1064682006836,36.30696487426758,54.14444351196289,33.53276824951172,21.066085815429688,47.6786003112793,48.84331512451172,55.34796905517578,,55.59000015258789,,26.704240798950195,
